Time,T1,T2,Q1,Q2
0,20.949499999999997,20.949499999999997,100,0
34.0,28.362399999999997,21.2718,0,0
35.0,28.6847,21.594099999999997,100,0
37.0,29.329299999999996,21.594099999999997,0,0
38.0,29.329299999999996,21.594099999999997,0,0
39.0,29.6516,21.594099999999997,100,0
40.0,29.973899999999997,21.594099999999997,0,0
41.0,30.2962,21.594099999999997,100,0
42.01,30.2962,21.9164,100,0
43.0,30.618499999999997,21.9164,0,0
44.0,30.940799999999996,21.9164,0,0
45.0,31.263099999999998,21.9164,100,0
47.0,31.585399999999996,21.9164,100,0
48.0,31.9077,21.9164,0,0
49.01,31.9077,22.238699999999998,100,0
50.0,32.23,22.238699999999998,100,0
51.0,32.552299999999995,22.238699999999998,0,0
54.0,32.8746,22.238699999999998,100,0
55.0,33.1969,22.238699999999998,33.636113925132655,0
56.0,33.5192,22.238699999999998,0,0
57.0,33.5192,22.238699999999998,0,0
58.0,33.841499999999996,22.238699999999998,100,0
59.0,33.841499999999996,22.238699999999998,100,0
60.0,33.841499999999996,22.561,0,0
61.0,34.163799999999995,22.561,21.47882627097689,0
63.0,34.4861,22.561,100,0
64.0,34.4861,22.561,0,0
65.01,34.8084,22.561,100,0
66.01,34.8084,22.561,0,0
67.0,34.8084,22.561,100,0
69.0,35.1307,22.8833,100,0
70.0,35.452999999999996,22.561,0,0
72.0,35.775299999999994,22.8833,100,0
73.0,35.775299999999994,22.8833,0,0
74.0,35.775299999999994,22.8833,100,0
75.0,36.0976,22.8833,100,0
76.0,36.0976,22.8833,0,0
77.01,36.0976,22.8833,0,0
79.0,36.4199,22.8833,100,0
80.0,36.4199,22.8833,100,0
81.0,36.7422,23.205599999999997,100,0
82.0,36.7422,23.205599999999997,0,0
83.01,37.064499999999995,22.8833,100,0
85.0,37.064499999999995,23.205599999999997,0,0
86.0,37.386799999999994,23.205599999999997,100,0
88.0,37.386799999999994,23.205599999999997,100,0
89.0,37.7091,23.205599999999997,0,0
90.0,37.7091,23.205599999999997,100,0
92.0,38.0314,23.205599999999997,0,0
93.0,38.353699999999996,23.5279,100,0
94.0,38.353699999999996,23.205599999999997,0,0
95.0,38.353699999999996,23.205599999999997,100,0
96.0,38.675999999999995,23.5279,0,0
97.0,38.675999999999995,23.5279,100,0
99.0,38.9983,23.5279,0,0
100.0,39.3206,23.5279,100,0
101.0,39.3206,23.5279,0,0
102.0,39.3206,23.5279,100,0
103.0,39.3206,23.5279,0,0
105.0,39.6429,23.5279,100,0
106.0,39.965199999999996,23.5279,100,0
107.0,39.965199999999996,23.5279,0,0
108.0,39.965199999999996,23.5279,100,0
109.0,39.965199999999996,23.850199999999997,0,0
111.0,40.287499999999994,23.850199999999997,0,0
112.0,40.287499999999994,23.850199999999997,100,0
113.0,40.6098,23.850199999999997,0,0
114.0,40.6098,23.850199999999997,100,0
115.01,40.6098,23.850199999999997,100,0
117.0,40.9321,23.850199999999997,0,0
118.0,40.9321,23.850199999999997,100,0
120.0,41.2544,23.850199999999997,0,0
121.0,41.2544,23.850199999999997,100,0
122.0,41.2544,23.850199999999997,0,0
123.0,41.2544,23.850199999999997,100,0
124.0,41.576699999999995,24.1725,100,0
125.0,41.576699999999995,24.1725,0,0
127.0,41.898999999999994,24.1725,100,0
128.01,41.898999999999994,24.1725,0,0
129.0,41.898999999999994,24.1725,100,0
130.0,41.898999999999994,24.1725,0,0
131.0,41.898999999999994,24.1725,100,0
133.0,42.2213,24.1725,0,0
134.0,42.2213,24.1725,100,0
135.0,42.5436,24.1725,100,0
136.0,42.5436,24.1725,0,0
137.0,42.5436,24.1725,0,0
139.0,42.865899999999996,24.1725,100,0
140.0,42.865899999999996,24.1725,0,0
141.01,42.865899999999996,24.1725,100,0
142.0,42.865899999999996,24.1725,100,0
143.0,43.188199999999995,24.1725,0,0
145.0,43.188199999999995,24.494799999999998,100,0
146.0,43.188199999999995,24.494799999999998,0,0
148.0,43.188199999999995,24.494799999999998,0,0
149.0,43.188199999999995,24.494799999999998,100,0
150.0,43.188199999999995,24.494799999999998,0,0
152.0,43.188199999999995,24.494799999999998,100,0
153.0,43.51049999999999,24.494799999999998,0,0
154.0,43.51049999999999,24.1725,100,0
155.0,43.51049999999999,24.494799999999998,0,0
156.0,43.51049999999999,24.494799999999998,0,0
158.0,43.51049999999999,24.494799999999998,0,0
159.0,43.51049999999999,24.494799999999998,100,0
160.0,43.51049999999999,24.494799999999998,0,0
162.0,43.51049999999999,24.494799999999998,100,0
163.0,43.51049999999999,24.494799999999998,0,0
164.0,43.51049999999999,24.494799999999998,100,0
166.0,43.51049999999999,24.494799999999998,100,0
167.0,43.51049999999999,24.494799999999998,0,0
168.0,43.51049999999999,24.494799999999998,100,0
169.0,43.51049999999999,24.494799999999998,0,0
170.0,43.51049999999999,24.494799999999998,100,0
172.0,43.8328,24.494799999999998,100,0
173.0,43.8328,24.494799999999998,0,0
174.0,43.8328,24.494799999999998,0,0
175.0,43.8328,24.494799999999998,100,0
176.0,43.8328,24.494799999999998,0,0
178.0,44.1551,24.817099999999996,100,0
179.0,44.1551,24.494799999999998,0,0
180.0,44.1551,24.494799999999998,100,0
181.0,44.1551,24.494799999999998,100,0
